Pays,Year,"Total private debt,  all instruments (percent of GDP)","Total private debt,  loans and debt securities (percent of GDP)","Household debt, all instruments (percent of GDP)","Household debt, loans and debt securities (percent of GDP)","Non-financial corporations debt, all instruments (percent of GDP)","Non-financial corporations debt, loans and debt securities (percent of GDP)",General government debt (percent of GDP),Central government debt (percent of GDP),Nominal gross domestic product (billions)
Australia,1996,,"115,90",,"56,57",,"59,33","29,35","21,38","542,40"
Australia,1997,,"121,26",,"59,98",,"61,28","25,91","20,51","573,07"
Australia,1998,,"126,54",,"63,55",,"62,99","23,70","16,28","606,13"
Australia,1999,,"131,83",,"67,93",,"63,90","22,54","15,44","638,38"
Australia,2000,,"138,90",,"70,18",,"68,72","19,50","13,69","687,43"
Australia,2001,,"139,24",,"73,88",,"65,36","17,11","11,98","730,49"
Australia,2002,,"145,08",,"81,39",,"63,69","15,01","10,31","782,37"
Australia,2003,,"152,67",,"90,62",,"62,04","13,19","8,97","830,19"
Australia,2004,,"158,73",,"96,79",,"61,93","11,91","8,08","894,33"
Australia,2005,,"169,11",,"101,33",,"67,78","10,86","7,34","964,21"
Australia,2006,,"178,54",,"106,11",,"72,42","9,94","6,55","1039,95"
Australia,2007,,"187,42",,"109,17",,"78,25","9,67","6,07","1133,01"
Australia,2008,,"188,04",,"107,25",,"80,78","11,74","7,60","1235,36"
Australia,2009,,"186,36",,"112,20",,"74,16","16,62","11,48","1264,78"
Australia,2010,,"177,93",,"111,11",,"66,82","20,35","14,23","1364,46"
Australia,2011,,"173,35",,"109,01",,"64,35","24,04","16,98","1468,21"
Australia,2012,,"175,48",,"109,89",,"65,59","27,52","19,23","1515,87"
Australia,2013,,"181,40",,"112,19",,"69,21","30,47","21,24","1569,45"
Australia,2014,,"186,81",,"115,87",,"70,94","34,04","24,59","1613,99"
Australia,2015,,"197,15",,"120,98",,"76,17","37,73","28,45","1639,52"
Australia,2016,,"198,90",,"123,76",,"75,14","40,62","31,62","1697,37"
Australia,2017,,"194,15",,"123,03",,"71,11","41,20","32,38","1801,20"
Australia,2018,,"193,82",,"122,26",,"71,57","41,76","32,92","1894,25"
Australia,2019,,"189,55",,"118,98",,"70,58","46,72","36,58","1993,43"
Australia,2020,,"191,76",,"122,34",,"69,42","57,09","43,63","1973,59"
Australia,2021,,"181,42",,"117,69",,"63,73","55,54","41,01","2202,57"
Australia,2022,,"170,76",,"110,70",,"60,06","50,22","35,68","2482,84"
Australia,2023,,"168,96",,"109,82",,"59,14","48,97","35,62","2620,92"
Australia,2024,,"172,99",,"112,15",,"60,84","49,83","36,79","2722,07"
Austria,1996,"125,17","114,46","43,17","43,98","82,00","70,49","68,18","55,92","181,54"
Austria,1997,"130,19","118,91","43,30","44,09","86,89","74,82","63,37","57,12","187,78"
Austria,1998,"130,62","119,77","42,66","43,42","87,96","76,36","69,20","57,15","195,27"
Austria,1999,"137,02","125,72","44,66","45,45","92,37","80,27","61,34","58,10","203,07"
Austria,2000,"144,39","133,01","45,40","45,24","98,98","87,77","66,11","56,83","212,41"
Austria,2001,"146,72","134,74","45,68","45,51","101,04","89,24","67,24","55,35","219,37"
Austria,2002,"147,51","134,47","46,61","46,39","100,91","88,07","67,44","55,07","225,09"
Austria,2003,"151,60","137,00","47,11","46,87","104,50","90,13","66,41","55,03","230,54"
Austria,2004,"149,63","134,86","48,10","47,89","101,52","86,98","65,91","56,35","240,54"
Austria,2005,"154,18","139,30","52,57","52,18","101,60","87,11","69,43","56,00","252,36"
Austria,2006,"153,23","136,79","53,09","52,71","100,14","84,08","68,18","54,62","265,93"
Austria,2007,"157,86","140,89","52,30","51,86","105,57","89,03","65,81","52,22","282,21"
Austria,2008,"159,76","143,11","52,93","52,40","106,84","90,71","69,53","55,50","291,85"
Austria,2009,"160,72","145,62","54,13","53,69","106,59","91,93","80,75","58,93","286,27"
Austria,2010,"165,14","147,99","55,22","54,77","109,92","93,22","83,65","60,12","294,05"
Austria,2011,"163,27","145,81","53,81","53,40","109,46","92,41","83,36","59,44","308,17"
Austria,2012,"164,17","144,03","53,34","52,16","110,83","91,87","82,94","59,87","316,59"
Austria,2013,"171,06","148,47","53,00","51,73","118,06","96,74","82,43","60,38","321,19"
Austria,2014,"166,07","144,66","52,62","51,57","113,45","93,09","85,21","59,44","330,11"
Austria,2015,"164,08","144,01","52,32","51,31","111,76","92,71","85,61","58,21","342,08"
Austria,2016,"164,20","143,70","51,85","50,99","112,35","92,71","83,42","58,41","355,67"
Austria,2017,"163,65","142,80","51,08","50,23","112,57","92,57","79,06","57,51","367,29"
Austria,2018,"165,11","142,83","50,42","49,51","114,69","93,31","74,59","55,23","383,23"
Austria,2019,"162,94","142,44","50,43","49,39","112,52","93,05","71,01","52,76","395,71"
Austria,2020,"173,78","152,94","54,01","52,80","119,77","100,14","83,18","62,57","380,32"
Austria,2021,"174,81","153,05","52,77","51,69","122,05","101,36","82,39","62,42","406,23"
Austria,2022,"162,16","141,21","49,25","48,30","112,91","92,91","78,34","60,44","448,19"
Austria,2023,"152,33","133,83","45,96","44,94","106,37","88,88","78,40","59,78","473,85"
Austria,2024,"152,23","133,01","44,97","44,01","107,26","89,00","81,21","62,12","481,74"
Belgium,1996,"158,19","110,45","42,34","39,40","115,86","71,05","129,00","114,05","214,29"
Belgium,1997,"172,33","117,56","43,23","40,26","129,10","77,30","124,27","111,37","224,10"
Belgium,1998,"162,40","123,75","42,67","41,75","119,73","82,00","119,19","106,87","232,62"
Belgium,1999,"176,65","136,27","43,28","42,09","133,37","94,18","115,36","103,87","242,31"
Belgium,2000,"186,72","146,20","41,80","40,79","144,92","105,41","109,59","98,93","256,38"
Belgium,2001,"192,68","152,17","40,05","39,11","152,64","113,06","108,22","98,16","264,34"
Belgium,2002,"191,30","149,19","40,17","39,35","151,13","109,83","105,44","95,30","273,26"
Belgium,2003,"195,98","155,66","40,75","39,54","155,23","116,12","101,66","89,33","281,20"
Belgium,2004,"199,56","158,53","41,82","40,52","157,74","118,00","97,17","85,09","296,82"
Belgium,2005,"198,43","156,86","44,47","43,30","153,95","113,56","95,14","83,86","310,04"
Belgium,2006,"202,81","159,07","46,66","45,52","156,15","113,55","91,49","80,87","325,15"
Belgium,2007,"213,99","170,09","48,52","47,09","165,47","122,99","87,32","77,20","343,62"
Belgium,2008,"236,54","192,09","51,24","49,87","185,31","142,22","93,16","82,74","351,74"
Belgium,2009,"244,18","200,69","53,48","52,09","190,69","148,60","99,85","86,18","347,74"
Belgium,2010,"232,24","189,40","54,33","52,98","177,91","136,42","100,25","85,74","363,24"
Belgium,2011,"242,28","198,20","56,57","54,99","185,71","143,21","102,74","87,82","378,75"
Belgium,2012,"247,00","203,20","56,99","55,42","190,01","147,78","104,33","88,57","387,94"
Belgium,2013,"246,72","204,15","57,70","56,11","189,02","148,04","105,02","89,23","394,62"
Belgium,2014,"246,52","204,43","59,32","57,89","187,20","146,54","106,52","89,62","404,96"
Belgium,2015,"248,60","207,77","60,02","58,56","188,58","149,21","105,53","89,11","415,54"
Belgium,2016,"273,09","228,71","60,82","58,97","212,26","169,75","105,40","89,53","428,47"
Belgium,2017,"258,71","216,57","61,36","59,55","197,35","157,02","102,40","87,35","443,41"
Belgium,2018,"259,65","211,07","61,36","59,72","198,28","151,35","99,98","85,12","459,49"
Belgium,2019,"254,86","211,60","62,37","60,86","192,49","150,74","97,46","82,78","479,45"
Belgium,2020,"262,22","220,97","66,96","65,33","195,26","155,64","111,10","92,83","463,75"
Belgium,2021,"252,67","206,98","64,80","63,06","187,87","143,91","108,37","90,81","506,02"
Belgium,2022,"238,16","191,02","61,26","59,55","176,90","131,47","102,56","84,98","563,54"
Belgium,2023,"224,54","183,30","59,14","57,63","165,40","125,68","103,12","85,28","596,32"
Belgium,2024,"219,12","179,83","58,79","57,35","160,33","122,48","104,47","85,43","614,54"
Canada,1996,"176,33","142,04","63,04","61,13","113,30","80,92","100,24","64,69","859,83"
Canada,1997,"180,43","145,12","63,88","61,98","116,55","83,14","95,27","61,65","906,93"
Canada,1998,"190,10","151,30","66,26","64,30","123,84","87,00","93,29","58,89","940,55"
Canada,1999,"186,09","144,60","65,43","63,27","120,67","81,34","88,97","53,07","1007,93"
Canada,2000,"180,45","143,94","63,50","61,34","116,95","82,60","80,44","46,33","1106,07"
Canada,2001,"187,61","150,60","65,33","62,77","122,28","87,83","81,46","46,15","1144,54"
Canada,2002,"191,08","154,76","67,56","64,94","123,52","89,81","79,60","43,06","1193,69"
Canada,2003,"188,14","151,42","69,26","66,82","118,88","84,60","75,91","40,60","1254,75"
Canada,2004,"186,83","153,74","71,55","69,61","115,28","84,13","71,89","36,68","1335,73"
Canada,2005,"182,15","149,68","74,41","72,26","107,74","77,42","70,64","36,24","1421,59"
Canada,2006,"185,73","154,16","78,03","75,90","107,69","78,26","69,92","33,79","1496,60"
Canada,2007,"203,52","161,85","82,90","80,73","120,62","81,12","67,18","29,90","1577,66"
Canada,2008,"216,28","167,44","85,89","83,47","130,39","83,97","70,36","36,25","1657,04"
Canada,2009,"231,91","183,24","97,67","94,91","134,23","88,33","81,80","43,67","1571,33"
Canada,2010,"229,41","179,98","97,66","94,86","131,75","85,12","83,98","44,07","1666,05"
Canada,2011,"229,31","179,40","96,84","93,99","132,47","85,41","84,29","44,95","1774,06"
Canada,2012,"236,13","184,79","97,97","95,26","138,16","89,54","87,15","45,28","1827,20"
Canada,2013,"236,54","190,32","98,13","95,40","138,42","94,92","87,61","42,59","1902,25"
Canada,2014,"242,11","194,14","97,80","95,14","144,32","99,00","85,54","40,57","1994,90"
Canada,2015,"257,91","209,30","103,51","100,71","154,40","108,59","92,03","43,17","1990,44"
Canada,2016,"267,00","213,77","106,94","104,18","160,06","109,58","92,40","42,88","2025,54"
Canada,2017,"269,04","213,59","106,28","103,60","162,75","109,99","90,94","41,28","2140,64"
Canada,2018,"272,76","216,05","105,57","103,04","167,18","113,01","90,78","39,65","2235,68"
Canada,2019,"278,19","221,17","106,06","103,52","172,14","117,64","90,21","39,09","2313,56"
Canada,2020,"303,89","244,50","114,99","112,13","188,91","132,37","118,07","60,60","2220,53"
Canada,2021,"281,90","230,70","108,25","105,55","173,64","125,15","112,62","55,88","2535,82"
Canada,2022,"266,20","215,18","102,69","100,19","163,50","114,99","104,21","48,66","2850,94"
Canada,2023,"267,14","218,06","103,14","100,60","164,00","117,46","107,71","50,97","2933,81"
Canada,2024,"266,30","218,10","102,88","100,07","163,42","118,03","110,77","52,00","3069,08"
Chile,1996,,"80,66",,,,,"14,58","16,81","32393,86"
Chile,1997,,"88,26",,,,,"12,78","14,33","35946,99"
Chile,1998,,"95,59",,,,,"12,12","14,60","37741,62"
Chile,1999,,"105,23",,,,,"13,28","15,97","38461,78"
Chile,2000,,"109,31",,,,,"13,15","15,49","42215,03"
Chile,2001,,"112,31",,,,,"14,35","14,35","45409,05"
Chile,2002,,"113,05",,"22,63",,"90,42","15,05","15,05","48428,96"
Chile,2003,"180,11","100,76","25,41","23,50","154,71","77,26","12,57","12,57","52897,34"
Chile,2004,"172,35","93,63","27,21","25,17","145,14","68,46","10,31","10,31","60391,76"
Chile,2005,"167,00","90,45","28,68","26,33","138,32","64,12","7,04","7,04","68467,94"
Chile,2006,"154,67","87,67","28,86","26,39","125,81","61,28","5,02","5,02","81577,53"
Chile,2007,"154,11","92,21","32,30","29,03","121,81","63,18","3,90","3,90","90159,48"
Chile,2008,"172,81","111,49","36,06","32,63","136,75","78,86","4,92","4,92","93867,12"
Chile,2009,"160,56","110,08","36,91","33,91","123,65","76,18","5,84","5,84","96138,48"
Chile,2010,"156,33","102,71","35,41","32,58","120,92","70,13","8,61","8,61","110777,87"
Chile,2011,"166,88","109,16","36,44","33,81","130,44","75,36","11,13","11,13","121509,30"
Chile,2012,"176,16","115,82","37,53","35,34","138,63","80,48","11,94","11,94","129973,39"
Chile,2013,"183,17","124,52","39,50","37,28","143,67","87,24","12,78","12,78","137309,19"
Chile,2014,"198,08","136,31","41,61","39,36","156,47","96,94","15,02","15,02","147951,29"
Chile,2015,"208,59","145,52","43,68","41,26","164,91","104,26","17,37","17,37","158622,90"
Chile,2016,"205,50","142,79","44,94","42,43","160,56","100,36","21,10","21,10","168764,69"
Chile,2017,"200,75","137,54","46,43","43,79","154,33","93,74","23,65","23,65","179314,91"
Chile,2018,"198,16","143,37","48,64","45,83","149,53","97,54","25,80","25,80","189434,87"
Chile,2019,"218,07","154,17","51,16","48,12","166,91","106,05","28,33","28,33","195531,72"
Chile,2020,"217,29","157,83","50,71","48,27","166,58","109,56","32,38","32,38","201257,75"
Chile,2021,"206,84","146,73","47,38","44,94","159,45","101,79","36,45","36,45","239418,12"
Chile,2022,"205,95","144,29","49,16","46,42","156,80","97,87","37,91","37,91","263065,44"
Chile,2023,"199,48","142,08","48,80","46,34","150,68","95,74","39,42","39,42","281857,49"
Chile,2024,"195,26","139,01","47,16","44,81","148,10","94,21","41,98","41,65","311630,88"
Colombia,1996,,"47,44",,"16,49",,"30,94","23,28","9,26","120383,44"
Colombia,1997,,"54,06",,"15,37",,"38,69","25,25","11,74","145481,50"
Colombia,1998,,"54,25",,"15,10",,"39,14","27,44","13,68","167925,73"
Colombia,1999,,"53,78",,"13,56",,"40,22","33,97","20,31","181171,02"
Colombia,2000,,"47,14",,"9,71",,"37,42","37,97","26,45","207268,00"
Colombia,2001,,"46,29",,"9,29",,"37,01","41,08","31,05","224483,00"
Colombia,2002,,"48,48",,"10,21",,"38,26","47,53","37,11","243837,00"
Colombia,2003,,"44,28",,"9,76",,"34,51","45,02","36,63","270695,00"
Colombia,2004,,"40,75",,"11,24",,"29,50","41,47","34,97","305896,00"
Colombia,2005,,"39,65",,"12,95",,"26,70","38,53","32,71","337957,00"
Colombia,2006,,"41,75",,"14,25",,"27,50","35,97","31,03","381604,00"
Colombia,2007,,"43,45",,"16,48",,"26,96","32,66","27,22","428506,00"
Colombia,2008,,"43,59",,"16,42",,"27,17","32,38","26,13","476554,00"
Colombia,2009,,"45,22",,"17,51",,"27,71","35,39","28,88","501574,00"
Colombia,2010,,"48,87",,"18,70",,"30,17","36,50","29,52","544060,00"
Colombia,2011,,"50,30",,"20,09",,"30,21","35,78","29,09","619023,00"
Colombia,2012,,"50,65",,"21,62",,"29,03","33,97","27,33","666508,00"
Colombia,2013,,"54,61",,"22,94",,"31,67","37,59","29,57","714094,00"
Colombia,2014,,"60,51",,"24,15",,"36,36","43,32","32,88","762903,00"
Colombia,2015,"101,89","67,97","31,34","26,87","70,55","41,10","50,37","37,30","804692,00"
Colombia,2016,"103,79","64,12","33,14","26,25","70,65","37,87","49,90","37,38","863782,00"
Colombia,2017,"99,72","62,29","34,19","26,96","65,53","35,33","49,45","38,29","920471,00"
Colombia,2018,"102,85","61,97","34,34","27,65","68,51","34,32","51,76","41,36","987791,00"
Colombia,2019,"103,29","60,64","36,42","29,08","66,87","31,56","50,97","40,68","1060068,00"
Colombia,2020,"114,80","69,93","40,05","32,38","74,74","37,55","65,27","52,38","998471,00"
Colombia,2021,"110,68","64,21","37,39","30,07","73,30","34,14","64,42","50,95","1192634,00"
Colombia,2022,"106,57","60,74","33,19","28,45","73,38","32,30","61,30","48,49","1471079,00"
Colombia,2023,"98,15","57,54","32,85","26,95","65,31","30,59","55,46","43,89","1584562,00"
Colombia,2024,"95,89","54,89","31,12","25,71","64,76","29,19","61,28",,"1705323,00"
Costa Rica,1996,,"22,08",,,,,,"33,69","2425,73"
Costa Rica,1997,,"28,31",,,,,,"30,56","2934,16"
Costa Rica,1998,,"27,48",,,,,,"40,69","3519,45"
Costa Rica,1999,,"32,20",,,,,,"38,98","4072,33"
Costa Rica,2000,,"36,47",,,,,,"38,85","4627,05"
Costa Rica,2001,,"44,17",,"13,36",,"30,81",,"39,64","5254,08"
Costa Rica,2002,,"47,45",,"14,95",,"32,49",,"41,44","5965,39"
Costa Rica,2003,,"45,22",,"15,86",,"29,37",,"40,57","6885,56"
Costa Rica,2004,,"43,96",,"17,01",,"26,95",,"41,00","8150,14"
Costa Rica,2005,,"45,88",,"18,13",,"27,75",,"37,32","9577,02"
Costa Rica,2006,,"48,37",,"18,74",,"29,63",,"33,04","11613,32"
Costa Rica,2007,,"55,63",,"21,63",,"33,99",,"26,98","13889,05"
Costa Rica,2008,,"60,52",,"25,13",,"35,39",,"24,01","16208,97"
Costa Rica,2009,,"54,74",,"24,22",,"30,53","26,09","25,99","17626,15"
Costa Rica,2010,,"50,59",,"22,77",,"27,83","28,20","28,08","19802,01"
Costa Rica,2011,,"54,96",,"23,90",,"31,06","29,99","29,50","21623,52"
Costa Rica,2012,,"54,78",,"24,80",,"29,98","34,12","33,75","23752,87"
Costa Rica,2013,,"58,26",,"26,02",,"32,24","35,39","35,09","25462,95"
Costa Rica,2014,,"61,11",,"27,17",,"33,93","37,84","37,48","28001,33"
Costa Rica,2015,,"62,12",,"28,22",,"33,90","40,20","39,77","30171,92"
Costa Rica,2016,,"65,01",,"29,65",,"35,37","44,39","43,78","32056,29"
Costa Rica,2017,,"65,53",,"30,45",,"35,08","47,43","46,78","34343,65"
Costa Rica,2018,,"66,45",,"30,95",,"35,50","52,26","51,58","36014,72"
Costa Rica,2019,,"62,36",,"29,65",,"32,71","56,92","56,08","37832,15"
Costa Rica,2020,,"66,90",,"31,33",,"35,57","67,38","66,93","36495,25"
Costa Rica,2021,,"62,42",,"28,87",,"33,56","68,14","67,74","40326,63"
Costa Rica,2022,,"58,70",,"27,14",,"31,56","63,50","63,07","44810,03"
Costa Rica,2023,,"55,55",,"26,56",,"28,99","61,60","61,17","47059,27"
Costa Rica,2024,,"55,66",,"26,83",,"28,83","60,17","59,78","49115,93"
Czech Republic,1996,"137,55","69,35","11,26","7,68","126,29","61,67","11,51","10,24","1840,56"
Czech Republic,1997,"145,58","76,73","11,19","7,68","134,39","69,04","12,12","10,80","1982,42"
Czech Republic,1998,"141,17","66,22","10,21","6,86","130,96","59,36","13,88","12,55","2168,88"
Czech Republic,1999,"140,07","65,10","10,86","7,33","129,21","57,77","15,09","13,92","2267,28"
Czech Republic,2000,"140,47","61,79","11,54","7,68","128,93","54,11","16,89","15,74","2399,70"
Czech Republic,2001,"126,88","55,79","11,68","8,07","115,20","47,72","22,60","21,40","2591,57"
Czech Republic,2002,"130,19","57,53","14,21","10,69","115,98","46,84","25,70","24,21","2704,47"
Czech Republic,2003,"127,17","52,07","15,31","11,40","111,86","40,67","28,06","26,38","2833,20"
Czech Republic,2004,"122,10","59,91","17,28","13,80","104,82","46,11","28,29","26,27","3087,78"
Czech Republic,2005,"124,75","60,05","19,84","16,44","104,90","43,61","27,68","25,53","3288,49"
Czech Republic,2006,"126,90","64,55","22,01","18,98","104,89","45,56","27,56","25,29","3530,25"
Czech Republic,2007,"131,14","69,86","26,18","23,10","104,95","46,76","27,35","25,19","3856,63"
Czech Republic,2008,"128,47","76,96","29,97","25,70","98,50","51,26","28,15","25,99","4037,56"
Czech Republic,2009,"141,86","81,13","32,75","28,43","109,10","52,70","33,43","31,01","3945,51"
Czech Republic,2010,"142,81","82,87","33,32","28,49","109,49","54,38","36,70","34,30","4032,95"
Czech Republic,2011,"149,23","85,41","34,57","29,60","114,67","55,81","39,40","36,95","4095,36"
Czech Republic,2012,"150,51","88,61","35,36","30,46","115,15","58,15","43,84","41,23","4118,39"
Czech Republic,2013,"154,33","91,26","36,72","31,19","117,61","60,07","44,14","41,59","4169,01"
Czech Republic,2014,"150,39","89,44","35,49","30,03","114,90","59,42","41,55","39,14","4377,99"
Czech Republic,2015,"145,75","85,46","35,13","30,00","110,63","55,47","39,47","37,41","4651,81"
Czech Republic,2016,"149,88","87,15","35,95","30,84","113,93","56,31","36,23","35,39","4843,03"
Czech Republic,2017,"147,61","87,56","38,00","31,07","109,62","56,49","33,78","33,49","5179,34"
Czech Republic,2018,"145,43","90,67","37,95","31,41","107,48","59,26","31,68","32,00","5475,77"
Czech Republic,2019,"135,04","84,67","37,18","31,04","97,86","53,64","29,55","30,44","5888,87"
Czech Republic,2020,"138,72","87,84","39,61","33,24","99,11","54,60","36,88","38,13","5828,32"
Czech Republic,2021,"140,49","89,50","38,96","33,89","101,53","55,61","40,69","42,18","6307,76"
Czech Republic,2022,"141,02","87,46","36,21","31,88","104,81","55,58","42,52","44,04","7049,87"
Czech Republic,2023,"136,34","85,62","34,35","30,82","102,00","54,80","42,45","44,00","7618,53"
Czech Republic,2024,"139,25","87,94","33,59","30,84","105,67","57,10","42,99","43,81","8008,21"
Denmark,1996,"168,37","146,62","77,78","69,79","90,59","76,83","68,32","72,54","1087,15"
Denmark,1997,"175,48","151,27","79,44","72,55","96,04","78,73","64,39","67,94","1144,17"
Denmark,1998,"172,68","150,67","80,82","76,25","91,86","74,42","60,32","62,83","1185,22"
Denmark,1999,"185,56","150,68","80,09","75,84","105,47","74,84","56,79","59,52","1240,98"
Denmark,2000,"194,93","157,44","80,03","75,78","114,90","81,66","53,55","53,64","1325,98"
Denmark,2001,"201,11","173,18","84,60","80,52","116,51","92,66","50,10","50,63","1372,28"
Denmark,2002,"202,15","170,28","89,56","84,81","112,58","85,47","50,32","50,20","1411,48"
Denmark,2003,"207,54","177,50","95,69","90,26","111,86","87,24","48,16","48,29","1438,89"
Denmark,2004,"215,15","186,28","98,93","94,39","116,21","91,89","46,22","45,61","1509,67"
Denmark,2005,"231,54","205,10","105,50","101,66","126,04","103,45","39,36","38,18","1590,08"
Denmark,2006,"250,89","226,39","112,01","108,20","138,89","118,19","33,19","31,70","1685,24"
Denmark,2007,"266,56","240,22","119,01","115,48","147,55","124,73","29,48","27,00","1743,14"
Denmark,2008,"281,92","250,90","124,08","119,73","157,84","131,17","35,54","31,09","1809,72"
Denmark,2009,"298,81","270,91","135,60","129,91","163,21","141,00","43,05","36,28","1729,53"
Denmark,2010,"289,46","260,26","134,27","128,08","155,19","132,17","46,12","38,12","1812,90"
Denmark,2011,"293,17","266,24","131,31","125,92","161,86","140,32","49,99","40,99","1848,53"
Denmark,2012,"286,93","265,54","128,50","124,07","158,43","141,47","48,71","40,02","1892,94"
Denmark,2013,"276,79","255,33","128,59","124,69","148,20","130,65","47,77","38,42","1935,56"
Denmark,2014,"281,53","258,54","126,88","122,71","154,65","135,83","48,71","38,43","1980,26"
Denmark,2015,"289,37","258,88","122,49","118,76","166,88","140,12","44,55","33,61","2030,21"
Denmark,2016,"294,43","258,81","121,79","116,89","172,64","141,92","41,69","30,85","2101,52"
Denmark,2017,"288,78","252,09","118,55","113,83","170,23","138,27","40,15","29,38","2189,59"
Denmark,2018,"288,31","252,13","116,48","112,32","171,83","139,82","38,54","27,60","2243,54"
Denmark,2019,"300,02","262,44","116,59","110,84","183,43","151,60","38,33","26,59","2303,64"
Denmark,2020,"288,22","250,79","118,85","111,76","169,38","139,03","46,28","34,66","2326,59"
Denmark,2021,"268,28","227,92","107,42","101,55","160,87","126,37","40,49","28,32","2567,52"
Denmark,2022,"258,09","217,67","88,75","84,49","169,34","133,17","34,08","22,67","2844,23"
Denmark,2023,"262,29","218,73","93,31","88,31","168,98","130,43","33,59","22,17","2804,74"
Denmark,2024,"254,04","211,31","90,03","85,16","164,01","126,14","27,99","20,24","2960,89"
Estonia,1996,"77,59","39,99","5,15","3,35","72,44","36,64","7,30",,"3,68"
Estonia,1997,"92,43","52,55","7,98","6,25","84,46","46,30","6,03",,"4,57"
Estonia,1998,"107,26","66,03","7,39","5,82","99,87","60,21","5,40",,"5,10"
Estonia,1999,"115,64","68,74","8,57","6,97","107,08","61,77","5,93",,"5,41"
Estonia,2000,"117,43","72,85","10,96","8,66","106,48","64,19","5,11","3,33","6,17"
Estonia,2001,"125,09","80,89","12,97","10,81","112,12","70,07","4,93","2,92","6,98"
Estonia,2002,"136,20","89,35","16,51","14,07","119,69","75,28","5,66","3,47","7,82"
Estonia,2003,"131,64","96,43","20,85","18,35","110,80","78,08","5,60","3,13","8,75"
Estonia,2004,"142,13","105,67","25,57","24,18","116,55","81,49","5,16","2,82","9,78"
Estonia,2005,"155,97","110,57","33,46","32,00","122,52","78,58","4,73","2,30","11,35"
Estonia,2006,"172,28","130,58","43,55","41,94","128,72","88,64","4,72","2,09","13,57"
Estonia,2007,"174,48","136,64","47,99","46,11","126,49","90,52","3,91","1,44","16,40"
Estonia,2008,"193,45","148,22","52,22","50,64","141,23","97,58","4,67","1,81","16,62"
Estonia,2009,"205,40","159,81","59,33","57,52","146,07","102,29","7,98","4,25","14,13"
Estonia,2010,"201,72","148,58","56,42","52,95","145,29","95,63","7,99","4,50","14,74"
Estonia,2011,"185,19","132,99","48,53","45,47","136,66","87,53","7,60","4,52","16,74"
Estonia,2012,"176,89","128,20","44,36","41,58","132,53","86,62","11,15","11,91","18,09"
